TimeSeries ID,database/cpu/utilization.cloudsql_database.ALIGN_MAX.metric.type="cloudsql.googleapis.com/database/cpu/utilization" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".120s.database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.region:us-central
region,us-central
project_id,data-rainfall-476920-v0
database_id,data-rainfall-476920-v0:quizapp-postgres-prod
Tue Dec 02 2025 13:36:00 GMT+0530 (India Standard Time),0.045328305964295386
Tue Dec 02 2025 13:38:00 GMT+0530 (India Standard Time),0.043365003197684375
Tue Dec 02 2025 13:40:00 GMT+0530 (India Standard Time),0.04607481981712595
Tue Dec 02 2025 13:42:00 GMT+0530 (India Standard Time),0.04048466308372009
Tue Dec 02 2025 13:44:00 GMT+0530 (India Standard Time),0.04410358003163803
Tue Dec 02 2025 13:46:00 GMT+0530 (India Standard Time),0.043879444850035296
Tue Dec 02 2025 13:48:00 GMT+0530 (India Standard Time),0.04342278017808165
Tue Dec 02 2025 13:50:00 GMT+0530 (India Standard Time),0.04566719132481865
Tue Dec 02 2025 13:52:00 GMT+0530 (India Standard Time),0.04597920575022864
Tue Dec 02 2025 13:54:00 GMT+0530 (India Standard Time),0.05476414729990111
Tue Dec 02 2025 13:56:00 GMT+0530 (India Standard Time),0.04969933971470795
Tue Dec 02 2025 13:58:00 GMT+0530 (India Standard Time),0.04804490117324131
Tue Dec 02 2025 14:00:00 GMT+0530 (India Standard Time),0.04911882751492769
Tue Dec 02 2025 14:02:00 GMT+0530 (India Standard Time),0.04461487893556916
Tue Dec 02 2025 14:04:00 GMT+0530 (India Standard Time),0.04511162891657131
Tue Dec 02 2025 14:06:00 GMT+0530 (India Standard Time),0.04034788176860123
Tue Dec 02 2025 14:08:00 GMT+0530 (India Standard Time),0.040849144500763636
Tue Dec 02 2025 14:10:00 GMT+0530 (India Standard Time),0.0439782136920518
Tue Dec 02 2025 14:12:00 GMT+0530 (India Standard Time),0.04314816786576093
Tue Dec 02 2025 14:14:00 GMT+0530 (India Standard Time),0.0718647082608939
Tue Dec 02 2025 14:16:00 GMT+0530 (India Standard Time),0.08506208360834507
Tue Dec 02 2025 14:18:00 GMT+0530 (India Standard Time),0.1302332632317127
Tue Dec 02 2025 14:20:00 GMT+0530 (India Standard Time),0.14476576874837926
Tue Dec 02 2025 14:22:00 GMT+0530 (India Standard Time),0.1389773765576038
Tue Dec 02 2025 14:24:00 GMT+0530 (India Standard Time),0.13703404872330413
Tue Dec 02 2025 14:26:00 GMT+0530 (India Standard Time),0.14532973140792366
Tue Dec 02 2025 14:28:00 GMT+0530 (India Standard Time),0.15820714565042002
Tue Dec 02 2025 14:30:00 GMT+0530 (India Standard Time),0.1559680366556942
Tue Dec 02 2025 14:32:00 GMT+0530 (India Standard Time),0.14893683996857068
Tue Dec 02 2025 14:34:00 GMT+0530 (India Standard Time),0.17753658000265915
Tue Dec 02 2025 14:36:00 GMT+0530 (India Standard Time),0.18127099822466353
Tue Dec 02 2025 14:38:00 GMT+0530 (India Standard Time),0.16783523236051204
Tue Dec 02 2025 14:40:00 GMT+0530 (India Standard Time),0.1706588111217774
Tue Dec 02 2025 14:42:00 GMT+0530 (India Standard Time),0.17809650909327576
Tue Dec 02 2025 14:44:00 GMT+0530 (India Standard Time),0.1983893231740685
Tue Dec 02 2025 14:46:00 GMT+0530 (India Standard Time),0.1922929055859792
Tue Dec 02 2025 14:48:00 GMT+0530 (India Standard Time),0.1911637434905534
Tue Dec 02 2025 14:50:00 GMT+0530 (India Standard Time),0.1573155119474118
Tue Dec 02 2025 14:52:00 GMT+0530 (India Standard Time),0.08711332385257435
Tue Dec 02 2025 14:54:00 GMT+0530 (India Standard Time),0.07283328123219045
Tue Dec 02 2025 14:56:00 GMT+0530 (India Standard Time),0.08153445904054497
Tue Dec 02 2025 14:58:00 GMT+0530 (India Standard Time),0.06689902206702147
Tue Dec 02 2025 15:00:00 GMT+0530 (India Standard Time),0.04927868132522804
Tue Dec 02 2025 15:02:00 GMT+0530 (India Standard Time),0.04262853788820185
Tue Dec 02 2025 15:04:00 GMT+0530 (India Standard Time),0.04860106068269279
Tue Dec 02 2025 15:06:00 GMT+0530 (India Standard Time),0.04905091392011324
Tue Dec 02 2025 15:08:00 GMT+0530 (India Standard Time),0.044679066686800675
Tue Dec 02 2025 15:10:00 GMT+0530 (India Standard Time),0.04897400760136274
Tue Dec 02 2025 15:12:00 GMT+0530 (India Standard Time),0.042247329986985466
Tue Dec 02 2025 15:14:00 GMT+0530 (India Standard Time),0.04562374265990646
Tue Dec 02 2025 15:16:00 GMT+0530 (India Standard Time),0.04659361504056107
Tue Dec 02 2025 15:18:00 GMT+0530 (India Standard Time),0.12786485556292176
Tue Dec 02 2025 15:20:00 GMT+0530 (India Standard Time),0.09630220476135207
Tue Dec 02 2025 15:22:00 GMT+0530 (India Standard Time),0.04148985285695706
Tue Dec 02 2025 15:24:00 GMT+0530 (India Standard Time),0.04764127263703699
Tue Dec 02 2025 15:26:00 GMT+0530 (India Standard Time),0.0479987683005703
Tue Dec 02 2025 15:28:00 GMT+0530 (India Standard Time),0.043017953565539335
Tue Dec 02 2025 15:30:00 GMT+0530 (India Standard Time),0.046091748899092976
