TimeSeries ID,value_write_sample_count_sum resource.location=us-central1 resource.attribution_id=quizapp-cluster
resource.location,us-central1
resource.attribution_id,quizapp-cluster
Tue Dec 02 2025 12:40:00 GMT+0530 (India Standard Time),101.26666666666662
Tue Dec 02 2025 12:41:00 GMT+0530 (India Standard Time),94.71666666666668
Tue Dec 02 2025 12:42:00 GMT+0530 (India Standard Time),99.33333333333331
Tue Dec 02 2025 12:43:00 GMT+0530 (India Standard Time),100.45
Tue Dec 02 2025 12:44:00 GMT+0530 (India Standard Time),90.1333333333333
Tue Dec 02 2025 12:45:00 GMT+0530 (India Standard Time),85.93333333333331
Tue Dec 02 2025 12:46:00 GMT+0530 (India Standard Time),87.03333333333332
Tue Dec 02 2025 12:47:00 GMT+0530 (India Standard Time),74.8833333333333
Tue Dec 02 2025 12:48:00 GMT+0530 (India Standard Time),88.99999999999997
Tue Dec 02 2025 12:49:00 GMT+0530 (India Standard Time),86.4333333333333
Tue Dec 02 2025 12:50:00 GMT+0530 (India Standard Time),80.01666666666664
Tue Dec 02 2025 12:51:00 GMT+0530 (India Standard Time),74.74999999999996
Tue Dec 02 2025 12:52:00 GMT+0530 (India Standard Time),86.21666666666665
Tue Dec 02 2025 12:53:00 GMT+0530 (India Standard Time),82.41666666666664
Tue Dec 02 2025 12:54:00 GMT+0530 (India Standard Time),90.48333333333329
Tue Dec 02 2025 12:55:00 GMT+0530 (India Standard Time),76.24999999999996
Tue Dec 02 2025 12:56:00 GMT+0530 (India Standard Time),84.91666666666664
Tue Dec 02 2025 12:57:00 GMT+0530 (India Standard Time),88.33333333333329
Tue Dec 02 2025 12:58:00 GMT+0530 (India Standard Time),92.96666666666667
Tue Dec 02 2025 12:59:00 GMT+0530 (India Standard Time),107.01666666666665
Tue Dec 02 2025 13:00:00 GMT+0530 (India Standard Time),101.6833333333333
Tue Dec 02 2025 13:01:00 GMT+0530 (India Standard Time),101.34999999999998
Tue Dec 02 2025 13:02:00 GMT+0530 (India Standard Time),93.44999999999999
Tue Dec 02 2025 13:03:00 GMT+0530 (India Standard Time),103.74999999999997
Tue Dec 02 2025 13:04:00 GMT+0530 (India Standard Time),104.56666666666666
Tue Dec 02 2025 13:05:00 GMT+0530 (India Standard Time),104.44999999999999
Tue Dec 02 2025 13:06:00 GMT+0530 (India Standard Time),93.26666666666662
Tue Dec 02 2025 13:07:00 GMT+0530 (India Standard Time),101.58333333333331
Tue Dec 02 2025 13:08:00 GMT+0530 (India Standard Time),105.06666666666663
Tue Dec 02 2025 13:09:00 GMT+0530 (India Standard Time),103.26666666666665
Tue Dec 02 2025 13:10:00 GMT+0530 (India Standard Time),98.69999999999997
Tue Dec 02 2025 13:11:00 GMT+0530 (India Standard Time),110.44999999999995
Tue Dec 02 2025 13:12:00 GMT+0530 (India Standard Time),97.23333333333332
Tue Dec 02 2025 13:13:00 GMT+0530 (India Standard Time),100.41666666666666
Tue Dec 02 2025 13:14:00 GMT+0530 (India Standard Time),106.48333333333329
Tue Dec 02 2025 13:15:00 GMT+0530 (India Standard Time),101.0333333333333
Tue Dec 02 2025 13:16:00 GMT+0530 (India Standard Time),100.79999999999998
Tue Dec 02 2025 13:17:00 GMT+0530 (India Standard Time),96.88333333333333
Tue Dec 02 2025 13:18:00 GMT+0530 (India Standard Time),106.78333333333327
Tue Dec 02 2025 13:19:00 GMT+0530 (India Standard Time),96.11666666666666
Tue Dec 02 2025 13:20:00 GMT+0530 (India Standard Time),92.64999999999999
Tue Dec 02 2025 13:21:00 GMT+0530 (India Standard Time),92.73333333333328
Tue Dec 02 2025 13:22:00 GMT+0530 (India Standard Time),89.49999999999999
Tue Dec 02 2025 13:23:00 GMT+0530 (India Standard Time),79.56666666666665
Tue Dec 02 2025 13:24:00 GMT+0530 (India Standard Time),79.7166666666666
Tue Dec 02 2025 13:25:00 GMT+0530 (India Standard Time),89.14999999999998
Tue Dec 02 2025 13:26:00 GMT+0530 (India Standard Time),83.39999999999998
Tue Dec 02 2025 13:27:00 GMT+0530 (India Standard Time),81.56666666666665
Tue Dec 02 2025 13:28:00 GMT+0530 (India Standard Time),86.6333333333333
Tue Dec 02 2025 13:29:00 GMT+0530 (India Standard Time),85.83333333333329
Tue Dec 02 2025 13:30:00 GMT+0530 (India Standard Time),84.4833333333333
Tue Dec 02 2025 13:31:00 GMT+0530 (India Standard Time),81.5333333333333
Tue Dec 02 2025 13:32:00 GMT+0530 (India Standard Time),83.11666666666666
Tue Dec 02 2025 13:33:00 GMT+0530 (India Standard Time),76.51666666666667
Tue Dec 02 2025 13:34:00 GMT+0530 (India Standard Time),93.16666666666663
Tue Dec 02 2025 13:35:00 GMT+0530 (India Standard Time),81.4333333333333
Tue Dec 02 2025 13:36:00 GMT+0530 (India Standard Time),79.3333333333333
Tue Dec 02 2025 13:37:00 GMT+0530 (India Standard Time),83.8333333333333
Tue Dec 02 2025 13:38:00 GMT+0530 (India Standard Time),82.36666666666663
Tue Dec 02 2025 13:39:00 GMT+0530 (India Standard Time),86.61666666666663
Tue Dec 02 2025 13:40:00 GMT+0530 (India Standard Time),78.4333333333333
Tue Dec 02 2025 13:41:00 GMT+0530 (India Standard Time),86.03333333333332
Tue Dec 02 2025 13:42:00 GMT+0530 (India Standard Time),88.96666666666664
Tue Dec 02 2025 13:43:00 GMT+0530 (India Standard Time),78.63333333333334
Tue Dec 02 2025 13:44:00 GMT+0530 (India Standard Time),85.93333333333327
Tue Dec 02 2025 13:45:00 GMT+0530 (India Standard Time),82.81666666666662
Tue Dec 02 2025 13:46:00 GMT+0530 (India Standard Time),83.1833333333333
Tue Dec 02 2025 13:47:00 GMT+0530 (India Standard Time),78.76666666666664
Tue Dec 02 2025 13:48:00 GMT+0530 (India Standard Time),93.28333333333329
Tue Dec 02 2025 13:49:00 GMT+0530 (India Standard Time),81.0333333333333
Tue Dec 02 2025 13:50:00 GMT+0530 (India Standard Time),86.86666666666666
Tue Dec 02 2025 13:51:00 GMT+0530 (India Standard Time),80.84999999999997
Tue Dec 02 2025 13:52:00 GMT+0530 (India Standard Time),81.41666666666663
Tue Dec 02 2025 13:53:00 GMT+0530 (India Standard Time),83.34999999999997
Tue Dec 02 2025 13:54:00 GMT+0530 (India Standard Time),85.74999999999996
